NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
4152,680 Esther Ln,55125,MN,WB - Woodbury,202500,11/3/17 0:00,215000,Exclusive Right,215000,105.2495,1002,Wood,833 - South Washington County,74,1/16/18 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Office",Asphalt Shingles,No,None,74,"Detached Garage, Driveway - Asphalt, Garage Door Opener",1002,2350,2350,2017,1924,,1959,Residential-Single,(SF) One Story,0.22,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Electronic Air Filter",,"Metal, Vinyl",Kitchen/Dining Room,"Full, Finished (Livable), Egress Windows",1,1,0,0,SF,2,"Main Floor Full Bath, 1/2 Basement",3,922,Not Assumable,0,No,0
4153,6868 Lake Ter W,55125,MN,WB - Woodbury,205000,9/7/17 0:00,215000,Exclusive Right,215000,143.1564,1432,None,833 - South Washington County,25,10/9/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry","Asphalt Shingles, Pitched, Age Over 8 Years",No,,25,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1432,2219,2222,2017,1432,,1992,Residential-Single,(TH) Side x Side,0.06,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone",Kitchen/Dining Room,Slab,1,0,0,1,SF,2,"Main Floor Full Bath, Main Floor 3/4 Bath, 3/4 Master, Separate Tub & Shower",2,0,,190,Unknown,3
4154,"11025 Oak Grove Cir, B",55129,MN,WB - Woodbury,215000,7/31/17 0:00,215000,Exclusive Right,215000,137.1173,576,,833 - South Washington County,14,8/14/17 0:00,1,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, , , Loft, Laundry","Asphalt Shingles, Age 8 Years or Less",No,"Below Ground, Heated, Shared",14,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1568,2412,2488,2017,1568,B,2004,Residential-Single,(TH) Side x Side,0.151,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal",,"Vinyl, Brick/Stone","Informal Dining Room, Breakfast Area, Living/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",2,0,Not Assumable,244,No,76
4155,"10991 Oak Grove Cir, B",55129,MN,WB - Woodbury,220000,6/20/17 0:00,215000,Exclusive Right,215000,148.6486,576,None,833 - South Washington County,62,8/21/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft","Asphalt Shingles, Age Over 8 Years",No,"Below Ground, Outdoor, Heated",62,"Attached Garage, Driveway - Asphalt",1480,2262,2262,2017,1480,B,2004,Residential-Single,(TH) Side x Side,0.149,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Full Master, Separate Tub & Shower",2,0,Not Assumable,244,Unknown,0
4156,"6203 Courtly Rd, C",55125,MN,WB - Woodbury,213000,4/10/17 0:00,215000,Exclusive Right,220000,109.5116,800,,833 - South Washington County,29,5/9/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Den",Asphalt Shingles,No,,22,Attached Garage,1365,2154,2154,2017,1945,C,1998,Residential-Single,(TH) Side x Side,0.032,Central,"Cooktop, Dishwasher, Refrigerator",,"Metal, Vinyl",Kitchen/Dining Room,"Full, Finished (Livable), Egress Windows",1,2,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , 1/2 Basement",3,580,Not Assumable,183,Unknown,22
4157,1916 Lamplight Dr,55125,MN,WB - Woodbury,215500,10/31/17 0:00,215500,Exclusive Right,230000,87.4594,1764,"Chain Link, Partial",833 - South Washington County,40,12/26/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Great Room, Laundry",Asphalt Shingles,No,,2,"Attached Garage, Tuckunder, Driveway - Concrete",1764,2954,2954,2017,2464,,1968,Residential-Single,(SF) Four or More Level Split,0.39,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Wood,"Separate/Formal Dining Room, Kitchen/Dining Room, Living/Dining Room","Partial, Finished (Livable), Sump Pump, Day/Lookout Windows",1,0,0,2,SF,3,"Upper Level Full Bath , 3/4 Master, 3/4 Basement",4,700,Not Assumable,0,No,0
4158,7602 Ojibway Park Bay,55125,MN,WB - Woodbury,228500,6/14/17 0:00,218000,Exclusive Right,218000,158.4605,1442,None,833 - South Washington County,22,7/6/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Laundry, Patio","Asphalt Shingles, Age Over 8 Years",No,None,22,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1442,2686,2686,2017,1442,,1995,Residential-Single,(TH) Side x Side,0.07,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal, Central Vacuum",,"Vinyl, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen",None,2,0,0,0,SF,2,"Main Floor Full Bath, 3/4 Master",2,0,Not Assumable,240,No,0
4159,"3511 Hazel Trl, G",55129,MN,WB - Woodbury,215000,4/27/17 0:00,218000,Exclusive Right,225000,121.3318,760,,833 - South Washington County,23,5/24/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,"Below Ground, Outdoor, Heated, Shared",8,"Attached Garage, Tuckunder, Insulated Garage",1772,2620,2620,2016,1772,G,2006,Residential-Single,(TH) Side x Side,0,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer",,"Vinyl, Brick/Stone",Living/Dining Room,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Walk-In Shower, Separate Tub & Shower",2,0,,259,No,0
4160,"3305 Hazel Trl, D",55129,MN,WB - Woodbury,219000,3/1/17 0:00,219000,Exclusive Right,219000,122.6204,669,,833 - South Washington County,2,3/3/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Walk-In Closet",Asphalt Shingles,No,,2,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1786,2382,2382,2017,1786,D,2010,Residential-Single,(TH) Side x Side,0.156,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone",Living/Dining Room,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",3,0,,244,Unknown,0
4161,"3474 Cherry Ln, E",55129,MN,WB - Woodbury,215000,6/2/17 0:00,219500,Exclusive Right,224900,137.8205,1560,None,833 - South Washington County,14,7/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft","Asphalt Shingles, Age Over 8 Years",No,"Below Ground, Outdoor, Shared",8,"Attached Garage, Driveway - Asphalt",1560,2262,2262,2017,1560,E,2005,Residential-Single,(TH) Side x Side,0.151,Central,"Range, Cooktop, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone",Living/Dining Room,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",3,0,,244,Unknown,0
4162,"10877 Oak Grove Cir, D",55129,MN,WB - Woodbury,217000,10/6/17 0:00,219900,Exclusive Right,219900,122.807,888,,833 - South Washington County,32,11/7/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Walk-In Closet, Master Bath, Laundry","Asphalt Shingles, Age Over 8 Years",No,,32,"Attached Garage, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1767,2526,2526,2017,1767,D,2004,Residential-Single,(TH) Side x Side,0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal",,Vinyl,"Informal Dining Room, Eat In Kitchen, Kitchen/Dining Room, Living/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Walk-In Shower, Separate Tub & Shower",2,0,Not Assumable,244,No,0
4163,7749 Cayenne Plz W,55125,MN,WB - Woodbury,222000,8/3/17 0:00,219900,Exclusive Right,225000,168.1818,1320,None,833 - South Washington County,46,9/18/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,None,25,Attached Garage,1320,2860,2860,2017,1320,,1976,Residential-Single,(SF) One Story,0.136,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Water Softener - Owned, Disposal",,Wood,Eat In Kitchen,Crawl Space,1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Master",3,0,Not Assumable,120,Unknown,0
4164,6766 Jenny Ln,55125,MN,WB - Woodbury,225000,6/9/17 0:00,219900,Exclusive Right,219900,156.6852,1436,,833 - South Washington County,4,6/14/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Laundry",,No,,4,"Attached Garage, Garage Door Opener",1436,2081,2084,2015,1436,,1993,Residential-Single,(TH) Side x Side,0.068,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone","Eat In Kitchen, Living/Dining Room",None,1,0,0,1,SF,2,"Main Floor Full Bath, Main Floor 3/4 Bath, 3/4 Master",2,0,,190,Unknown,3
4165,"3331 Cherry Ln, C",55129,MN,WB - Woodbury,220900,5/4/17 0:00,219900,Exclusive Right,21990000,129.9412,658,,833 - South Washington County,3,5/7/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,3,Attached Garage,1700,2764,2842,2016,1700,C,2006,Residential-Multi-Family,(TH) Side x Side,0.106,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator",,Vinyl,,Slab,2,1,0,0,SF,3,,3,0,,244,No,78
4166,6815 Christian Curv,55125,MN,WB - Woodbury,227000,3/28/17 0:00,219900,Exclusive Right,219900,142.2306,567,None,833 - South Washington County,9,4/6/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Foyer, Patio","Asphalt Shingles, Age Over 8 Years",No,None,9,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1173,2487,2490,2016,1596,,2005,Residential-Multi-Family,(TH) Side x Side,0.25,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Brick/Stone,Living/Dining Room,"Walkout, Full, Finished (Livable), Drain Tiled, Sump Pump",2,1,0,0,SF,3,"Upper Level Full Bath , Full Master, 1/2 Basement",2,423,,217,No,3
4167,2095 Saint Johns Ct,55129,MN,WB - Woodbury,220000,3/27/17 0:00,219900,Exclusive Right,219900,140.0382,595,,833 - South Washington County,22,4/18/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck","Asphalt Shingles, Age Over 8 Years",No,None,22,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1083,2056,2132,2017,1571,,2004,Residential-Multi-Family,(TH) Side x Side,0.036,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal, Furnace Humidifier",,"Vinyl, Brick/Stone",Informal Dining Room,"Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows",1,0,0,1,SF,2,"Upper Level Full Bath , Master Walk-Thru, 3/4 Basement",3,488,Not Assumable,191,No,76
4168,2832 Cornelia Trl,55125,MN,WB - Woodbury,220000,3/10/17 0:00,219900,Exclusive Right,219900,140.0382,1571,,833 - South Washington County,21,3/31/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Pitched",No,,21,"Attached Garage, Driveway - Asphalt",1571,2617,2620,2016,1571,,1994,Residential-Single,(TH) Side x Side,0.071,Central,,,Vinyl,,None,2,0,0,0,SF,2,,2,0,,230,No,0
4169,6829 Christian Curv,55125,MN,WB - Woodbury,228500,3/6/17 0:00,219900,Exclusive Right,219900,143.1704,567,,833 - South Washington County,1,3/7/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Mud Room, Deck, Patio",Asphalt Shingles,No,,1,Attached Garage,1173,2454,2454,2017,1596,,2005,Residential-Single,(TH) Side x Side,0.25,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal",,"Metal, Vinyl, Brick/Stone",Informal Dining Room,"Walkout, Full, Drain Tiled, Sump Pump, Day/Lookout Windows",2,1,0,0,SF,3,"Main Floor Full Bath, Private Master, Full Master, 1/2 Basement, Separate Tub & Shower",2,423,,217,Unknown,0
4170,2545 Cochrane Dr,55125,MN,WB - Woodbury,220000,8/24/17 0:00,220000,Exclusive Right,220000,171.2062,865,"Chain Link, Full",833 - South Washington County,14,9/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Patio",Asphalt Shingles,No,None,14,"Attached Garage, Driveway - Concrete, Garage Door Opener",885,2528,2670,2017,1285,,1984,Residential-Single,(SF) Three Level Split,0.265,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Wood,Eat In Kitchen,"Partial, Finished (Livable), Egress Windows, Concrete Block",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",4,400,,0,Yes,142.04
4171,2222 Saint Johns Cir,55129,MN,WB - Woodbury,225250,7/18/17 0:00,220000,Exclusive Right,220000,143.4713,594,None,833 - South Washington County,17,8/8/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck",Asphalt Shingles,No,None,17,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1082,2534,2610,2017,1570,,2004,Residential-Single,(TH) Side x Side,0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone",,"Walkout, Full, Finished (Livable), Drain Tiled, Sump Pump",1,1,0,1,SF,3,"Upper Level Full Bath , 3/4 Master, 1/2 Basement",2,488,,191,Unknown,76
4172,"10035 City Walk Dr, 104",55129,MN,WB - Woodbury,215000,5/16/17 0:00,220000,Exclusive Right,220000,123.0681,830,,834 - Stillwater,19,6/4/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,"Below Ground, Indoor, Heated, Shared",19,"Heated Garage, Underground Garage, Assigned",1747,1708,1786,2017,1747,104,2005,Residential-Single,(CC) Low Rise (3- Levels),0,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone, Other",Informal Dining Room,None,3,0,0,0,SF,3,"Main Floor Full Bath, Private Master, Full Master, Separate Tub & Shower, Whirlpool",3,0,Not Assumable,535,No,78
4173,6843 Christian Curv,55125,MN,WB - Woodbury,227000,4/5/17 0:00,220000,Exclusive Right,220000,142.2306,567,None,833 - South Washington County,25,5/22/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Foyer, Laundry, Patio, Utility Room",Asphalt Shingles,No,,25,"Attached Garage, Tuckunder, Garage Door Opener",1173,2360,2363,2017,1596,,2004,Residential-Single,(TH) Side x Side,0.04,Central,"Range, Cooktop, Microwave, Exhaust Fan/Hood, Dishwasher, Disposal",,"Metal, Vinyl, Brick/Stone","Informal Dining Room, Breakfast Area","Walkout, Crawl Space, Finished (Livable), Drain Tiled, Sump Pump",2,1,0,0,SF,3,"Upper Level Full Bath , Private Master, Full Master, 1/2 Basement",2,423,,217,Unknown,3
4174,6782 Christian Curv,55125,MN,WB - Woodbury,223000,3/22/17 0:00,223000,Exclusive Right,223000,147.78,548,,833 - South Washington County,0,3/22/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,,0,Attached Garage,1076,2759,2762,2016,1509,,2005,Residential-Single,(TH) Side x Side,0.041,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Water Softener - Owned",,Vinyl,Informal Dining Room,"Walkout, Finished (Livable), Sump Pump, Poured Concrete",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",3,433,,217,Yes,3
4175,3611 Hazel Trl UNIT A,55129,MN,WB - Woodbury,219500,5/9/17 0:00,223900,Exclusive Right,224900,115.9535,784,None,833 - South Washington County,57,7/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, , , Loft, Laundry, Deck, Foyer",Asphalt Shingles,No,,36,"Tuckunder, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1689,2408,2484,2017,1893,,2006,Residential-Single,(TH) Side x Side,0.184,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone",,"Full, Partial Finished",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath , Master Walk-Thru",2,204,Not Assumable,259,Unknown,76.3
4176,"3537 Cherry Ln, C",55129,MN,WB - Woodbury,225500,7/6/17 0:00,224500,Exclusive Right,239500,134.8684,594,,833 - South Washington County,64,9/9/17 0:00,0,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft",Asphalt Shingles,No,Below Ground,15,"Attached Garage, Driveway - Asphalt, More Parking Onsite for Fee",1672,2274,2350,2017,1672,C,2005,Residential-Single,(TH) Side x Side,0.151,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Vinyl,Informal Dining Room,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level 3/4 Bath, Private Master",3,0,Not Assumable,244,No,76
4177,"3490 Cherry Ln, E",55129,MN,WB - Woodbury,221000,10/20/17 0:00,224900,Exclusive Right,224900,140.7643,644,None,833 - South Washington County,39,11/28/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Patio",Asphalt Shingles,No,"Outdoor, Heated",39,"Attached Garage, Garage Door Opener",1570,2185,2262,2017,1570,E,2005,Residential-Single,(TH) Side x Side,0.151,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned, Disposal",,"Vinyl, Brick/Stone","Breakfast Area, Living/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Bathroom Ensuite, Walk-In Shower, Separate Tub & Shower",3,0,,244,No,763
4178,"3490 Cherry Ln, C",55129,MN,WB - Woodbury,224900,7/13/17 0:00,224900,Exclusive Right,224900,132.7627,644,,833 - South Washington County,37,8/19/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Laundry, Patio",Asphalt Shingles,No,"Outdoor, Shared",37,"Attached Garage, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1694,2606,2606,2017,1694,C,2006,Residential-Single,(TH) Side x Side,0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Metal, Vinyl, Brick/Stone",Living/Dining Room,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",3,0,Not Assumable,244,No,0
4179,10655 Pond Curv,55129,MN,WB - Woodbury,233000,6/15/17 0:00,224900,Exclusive Right,224900,142.5949,595,,833 - South Washington County,21,7/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Patio","Asphalt Shingles, Age Over 8 Years",No,,21,"Attached Garage, Driveway - Asphalt",1076,2196,2196,2017,1634,,2005,Residential-Single,(TH) Side x Side,0.036,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,"Vinyl, Brick/Stone",Informal Dining Room,"Walkout, Finished (Livable), Drain Tiled, Sump Pump",1,0,0,1,SF,2,"Upper Level Full Bath , Master Walk-Thru, 3/4 Basement",3,558,,191,Unknown,0
4180,"3535 Cherry Ln, B",55129,MN,WB - Woodbury,228000,5/23/17 0:00,224900,Exclusive Right,224900,141.0019,1078,Partial,833 - South Washington County,7,5/30/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft",Asphalt Shingles,No,,7,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1617,2186,2262,2017,1617,B,2005,Residential-Single,(TH) Side x Side,0.151,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Disposal",,"Metal, Vinyl",Informal Dining Room,None,1,0,1,1,SF,3,"Main Floor 1/2 Bath, Private Master, Full Master, Whirlpool",3,0,,245,Yes,76.3
4181,2125 Saint Johns Ct,55129,MN,WB - Woodbury,225000,4/17/17 0:00,224900,Exclusive Right,224900,143.3121,1172,,833 - South Washington County,2,5/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Deck","Asphalt Shingles, Pitched",No,,2,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1082,2364,2364,2016,1570,,2004,Residential-Multi-Family,(TH) Side x Side,0.041,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Furnace Humidifier",,"Metal, Vinyl",Informal Dining Room,"Full, Finished (Livable), Egress Windows",1,0,0,1,SF,2,"Master Walk-Thru, 3/4 Basement",3,488,,191,Unknown,78
4182,3547 Tara Ln,55125,MN,WB - Woodbury,245000,4/14/17 0:00,224900,Exclusive Right,224900,218.75,1120,,833 - South Washington County,28,5/12/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,28,"Attached Garage, Insulated Garage",1120,3236,3236,2016,1120,,1992,Residential-Single,(SF) Split Entry (Bi-Level),0.445,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Water Softener - Owned, Disposal, Furnace Humidifier",,Metal,Informal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,0
4183,3299 Hazel Trl E,55129,MN,WB - Woodbury,232000,3/30/17 0:00,224900,Exclusive Right,224900,131.2217,622,None,833 - South Washington County,10,4/9/17 0:00,1,"Living Room, Dining Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom",Asphalt Shingles,No,"Below Ground, Heated, Shared",10,Attached Garage,1768,2426,0,2017,1768,,2010,Residential-Single,(TH) Side x Side,0.156,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Vinyl, Brick/Stone",,None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",3,0,,244,No,0
4184,10626 Pond Curv,55129,MN,WB - Woodbury,217000,3/24/17 0:00,224900,Service Agreement,224900,138.7468,488,,833 - South Washington County,36,4/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry",Asphalt Shingles,No,,36,Attached Garage,1076,2234,2312,2017,1564,,2005,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Cooktop, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Vinyl,"Breakfast Area, Kitchen/Dining Room","Walkout, Full, Finished (Livable), Drainage System, Sump Pump, Poured Concrete",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",2,488,,180,No,77.81
4185,10641 Pond Curv,55129,MN,WB - Woodbury,224900,3/22/17 0:00,224900,Exclusive Right with Exclusions,224900,142.8844,584,,833 - South Washington County,11,4/2/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Deck, Patio",Asphalt Shingles,No,,11,Attached Garage,1091,2550,2628,2016,1574,,2005,Residential-Single,(TH) Side x Side,0.041,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Vinyl,Informal Dining Room,"Walkout, Finished (Livable)",1,0,0,1,SF,2,"Upper Level Full Bath , Master Walk-Thru, 3/4 Basement",3,483,,191,No,78
